Australian Bureau of Statistics

"2011 Census - Counting Employed Persons, Place of Work"
"DZN to State/Territory (POW) and Main Statistical Area Structure (Main ASGS) (POW)"
"Counting: Persons, Place of Work"

Filters:
"Default Summation","Persons, Place of Work"


"DZN to State/Territory (POW)","Main Statistical Area Structure (Main ASGS) (POW)",
"114675231","Windsor - Bligh Park",2093,
"114675232","Windsor - Bligh Park",2306,
"114679999","Windsor - Bligh Park",1032,
"114685210","Yarramundi - Londonderry",524,
"114685211","Yarramundi - Londonderry",377,
"114685212","Yarramundi - Londonderry",259,
"114685213","Yarramundi - Londonderry",232,
"114689999","Yarramundi - Londonderry",97,
"114695449","Erskine Park",1989,
"114695450","Erskine Park",278,
"114695451","Erskine Park",142,
"114699999","Erskine Park",561,
"114705431","St Clair",161,
"114705432","St Clair",118,
"114705433","St Clair",379,
"114705434","St Clair",139,
"114705435","St Clair",267,
"114705436","St Clair",324,
"114709999","St Clair",139,
"114715407","St Marys - Colyton",260,
"114715408","St Marys - Colyton",397,
"114715409","St Marys - Colyton",460,
"114715410","St Marys - Colyton",511,
"114715411","St Marys - Colyton",161,
"114715412","St Marys - Colyton",104,
"114715413","St Marys - Colyton",1945,
"114715414","St Marys - Colyton",614,
"114715415","St Marys - Colyton",936,
"114715416","St Marys - Colyton",232,
"114715417","St Marys - Colyton",1019,
"114715418","St Marys - Colyton",1467,
"114719999","St Marys - Colyton",1304,
"114724018","Auburn",1484,
"114724019","Auburn",160,
"114724020","Auburn",184,
"114724021","Auburn",106,
"114724022","Auburn",1007,
"114724023","Auburn",926,
"114724024","Auburn",492,
"114724025","Auburn",1463,
"114724026","Auburn",414,
"114724027","Auburn",221,
"114724028","Auburn",323,
"114724029","Auburn",1655,
"114724030","Auburn",757,
"114729999","Auburn",1538,
"114734043","Homebush Bay - Silverwater",8046,
"114734044","Homebush Bay - Silverwater",1649,
"114734045","Homebush Bay - Silverwater",491,
"114734046","Homebush Bay - Silverwater",2658,
"114734047","Homebush Bay - Silverwater",1469,
"114734048","Homebush Bay - Silverwater",700,
"114734049","Homebush Bay - Silverwater",3016,
"114734050","Homebush Bay - Silverwater",2347,
"114734051","Homebush Bay - Silverwater",643,
"114734052","Homebush Bay - Silverwater",1020,
"114739999","Homebush Bay - Silverwater",622,
"114744065","Lidcombe - Regents Park",577,
"114744066","Lidcombe - Regents Park",333,
"114744067","Lidcombe - Regents Park",1085,
"114744068","Lidcombe - Regents Park",178,
"114744069","Lidcombe - Regents Park",1650,
"114744070","Lidcombe - Regents Park",294,
"114744071","Lidcombe - Regents Park",252,
"114744072","Lidcombe - Regents Park",83,
"114744073","Lidcombe - Regents Park",734,
"114744074","Lidcombe - Regents Park",165,
"114744075","Lidcombe - Regents Park",682,
"114744076","Lidcombe - Regents Park",465,
"114744077","Lidcombe - Regents Park",1915,
"114744078","Lidcombe - Regents Park",386,
"114744079","Lidcombe - Regents Park",3452,
"114749999","Lidcombe - Regents Park",1317,
"114754092","Rookwood Cemetery",100,
"114763954","Carlingford",315,
"114763955","Carlingford",239,
"114763956","Carlingford",282,
"114763957","Carlingford",497,
"114763958","Carlingford",1251,
"114763959","Carlingford",194,
"114763960","Carlingford",359,
"114763961","Carlingford",333,
"114763962","Carlingford",143,
"114769999","Carlingford",213,
"114773995","Ermington - Rydalmere",484,
"114773996","Ermington - Rydalmere",242,
"114773997","Ermington - Rydalmere",155,
"114773998","Ermington - Rydalmere",2510,
"114773999","Ermington - Rydalmere",6410,
"114774000","Ermington - Rydalmere",565,
"114774001","Ermington - Rydalmere",145,
"114774002","Ermington - Rydalmere",180,
"114774003","Ermington - Rydalmere",317,
"114774004","Ermington - Rydalmere",171,
"114774005","Ermington - Rydalmere",420,
"114779999","Ermington - Rydalmere",557,
"114783975","Oatlands - Dundas Valley",376,
"114783976","Oatlands - Dundas Valley",140,
"114783977","Oatlands - Dundas Valley",191,
"114783978","Oatlands - Dundas Valley",45,
"114783979","Oatlands - Dundas Valley",107,
"114783980","Oatlands - Dundas Valley",94,
"114783981","Oatlands - Dundas Valley",123,
"114783982","Oatlands - Dundas Valley",201,
"114789999","Oatlands - Dundas Valley",77,
"114793934","Chester Hill - Sefton",197,
"114793935","Chester Hill - Sefton",213,
"114793936","Chester Hill - Sefton",1935,
"114793937","Chester Hill - Sefton",731,
"114793938","Chester Hill - Sefton",1298,
"114793939","Chester Hill - Sefton",589,
"114793940","Chester Hill - Sefton",122,
"114793941","Chester Hill - Sefton",791,
"114799999","Chester Hill - Sefton",173,
"114803871","Fairfield - East",540,
"114803872","Fairfield - East",61,
"114803873","Fairfield - East",107,
"114803874","Fairfield - East",106,
"114803875","Fairfield - East",306,
"114803876","Fairfield - East",285,
"114803877","Fairfield - East",1763,
"114803878","Fairfield - East",854,
"114809999","Fairfield - East",174,
"114813891","Granville - Clyde",167,
"114813892","Granville - Clyde",284,
"114813893","Granville - Clyde",218,
"114813894","Granville - Clyde",999,
"114813895","Granville - Clyde",540,
"114813896","Granville - Clyde",135,
"114813897","Granville - Clyde",203,
"114813898","Granville - Clyde",424,
"114813899","Granville - Clyde",886,
"114813900","Granville - Clyde",1289,
"114813901","Granville - Clyde",970,
"114819999","Granville - Clyde",176,
"114823779","Greystanes - Pemulwuy",156,
"114823780","Greystanes - Pemulwuy",201,
"114823781","Greystanes - Pemulwuy",1299,
"114823782","Greystanes - Pemulwuy",275,
"114823783","Greystanes - Pemulwuy",120,
"114823784","Greystanes - Pemulwuy",590,
"114823785","Greystanes - Pemulwuy",210,
"114823786","Greystanes - Pemulwuy",197,
"114823787","Greystanes - Pemulwuy",197,
"114823788","Greystanes - Pemulwuy",50,
"114829999","Greystanes - Pemulwuy",122,
"114833914","Guildford - South Granville",1425,
"114833915","Guildford - South Granville",319,
"114833916","Guildford - South Granville",148,
"114833917","Guildford - South Granville",124,
"114833918","Guildford - South Granville",300,
"114833919","Guildford - South Granville",224,
"114833920","Guildford - South Granville",99,
"114833921","Guildford - South Granville",100,
"114839999","Guildford - South Granville",169,
"114843817","Guildford West - Merrylands West",302,
"114843818","Guildford West - Merrylands West",460,
"114843819","Guildford West - Merrylands West",165,
"114843820","Guildford West - Merrylands West",192,
"114843821","Guildford West - Merrylands West",39,
"114843822","Guildford West - Merrylands West",250,
"114843823","Guildford West - Merrylands West",280,
"114849999","Guildford West - Merrylands West",217,
"114853836","Merrylands - Holroyd",135,
"114853837","Merrylands - Holroyd",121,
"114853838","Merrylands - Holroyd",237,
"114853839","Merrylands - Holroyd",2265,
"114853840","Merrylands - Holroyd",98,
"114853841","Merrylands - Holroyd",291,
"114853842","Merrylands - Holroyd",378,
"114853843","Merrylands - Holroyd",202,
"114853844","Merrylands - Holroyd",76,
"114853845","Merrylands - Holroyd",298,
"114859999","Merrylands - Holroyd",162,
"114863801","Smithfield Industrial",1530,
"114863802","Smithfield Industrial",2023,
"114863803","Smithfield Industrial",2216,
"114863804","Smithfield Industrial",2523,
"114869999","Smithfield Industrial",401,
"114873858","Yennora Industrial",2568,
"114883660","Girraween - Westmead",381,
"114883661","Girraween - Westmead",518,
"114883662","Girraween - Westmead",190,
"114883663","Girraween - Westmead",276,
"114883664","Girraween - Westmead",155,
"114883665","Girraween - Westmead",596,
"114883666","Girraween - Westmead",201,
"114883667","Girraween - Westmead",135,
"114883668","Girraween - Westmead",2820,
"114883669","Girraween - Westmead",460,
"114883670","Girraween - Westmead",342,
"114889999","Girraween - Westmead",477,
"114893722","North Parramatta",417,
"114893723","North Parramatta",569,
"114893724","North Parramatta",1509,
"114893725","North Parramatta",406,
"114893726","North Parramatta",570,
"114893727","North Parramatta",324,
"114893728","North Parramatta",1268,
"114893729","North Parramatta",363,
"114893730","North Parramatta",135,
"114893731","North Parramatta",378,
"114893732","North Parramatta",721,
"114893733","North Parramatta",581,
"114899999","North Parramatta",394,
"114903706","North Rocks",1233,
"114903707","North Rocks",222,
"114903708","North Rocks",1212,
"114903709","North Rocks",103,
"114909999","North Rocks",148,
"114913683","Northmead",425,
"114913684","Northmead",575,
"114913685","Northmead",9263,
"114913686","Northmead",757,
"114913687","Northmead",1528,
"114913688","Northmead",119,
"114913689","Northmead",649,
"114913690","Northmead",645,
"114913691","Northmead",211,
"114913692","Northmead",91,
"114913693","Northmead",137,
"114919999","Northmead",489,
"114923746","Parramatta - Rosehill",3657,
"114923747","Parramatta - Rosehill",123,
"114923748","Parramatta - Rosehill",160,
"114923749","Parramatta - Rosehill",1108,
"114923750","Parramatta - Rosehill",185,
"114923751","Parramatta - Rosehill",347,
"114923752","Parramatta - Rosehill",217,
"114923753","Parramatta - Rosehill",264,
"114923754","Parramatta - Rosehill",273,
"114923755","Parramatta - Rosehill",447,
"114923756","Parramatta - Rosehill",749,
"114923757","Parramatta - Rosehill",3964,
"114923758","Parramatta - Rosehill",2809,
"114923759","Parramatta - Rosehill",348,
"114923760","Parramatta - Rosehill",2839,
"114923761","Parramatta - Rosehill",6090,
"114923762","Parramatta - Rosehill",4066,
"114923763","Parramatta - Rosehill",8850,
"114923764","Parramatta - Rosehill",80,
"114923765","Parramatta - Rosehill",4306,
"114929999","Parramatta - Rosehill",1740,
"114933639","Toongabbie - Constitution Hill",183,
"114933640","Toongabbie - Constitution Hill",147,
"114933641","Toongabbie - Constitution Hill",633,
"114933642","Toongabbie - Constitution Hill",132,
"114933643","Toongabbie - Constitution Hill",166,
"114933644","Toongabbie - Constitution Hill",172,
"114933645","Toongabbie - Constitution Hill",727,
"114933646","Toongabbie - Constitution Hill",114,
"114933647","Toongabbie - Constitution Hill",144,
"114939999","Toongabbie - Constitution Hill",119,
"114943624","Winston Hills",469,
"114943625","Winston Hills",1137,
"114943626","Winston Hills",83,
"114949999","Winston Hills",77,
"114953442","Epping - North Epping",242,
"114953443","Epping - North Epping",231,
"114953444","Epping - North Epping",124,
"114953445","Epping - North Epping",312,
"114953446","Epping - North Epping",1147,
"114953447","Epping - North Epping",1865,
"114953448","Epping - North Epping",200,
"114953449","Epping - North Epping",187,
"114953450","Epping - North Epping",356,
"114953451","Epping - North Epping",124,
"114953452","Epping - North Epping",193,
"114959999","Epping - North Epping",501,
"114963421","Pennant Hills - Cheltenham",279,
"114963422","Pennant Hills - Cheltenham",977,
"114963423","Pennant Hills - Cheltenham",122,
"114963424","Pennant Hills - Cheltenham",93,
"114963425","Pennant Hills - Cheltenham",430,
"114963426","Pennant Hills - Cheltenham",465,
"114963427","Pennant Hills - Cheltenham",261,
"114963428","Pennant Hills - Cheltenham",1619,
"114963429","Pennant Hills - Cheltenham",195,
"114969999","Pennant Hills - Cheltenham",406,
"114973465","Eastwood - Denistone",130,
"114973466","Eastwood - Denistone",103,
"114973467","Eastwood - Denistone",158,
"114973468","Eastwood - Denistone",180,
"114973469","Eastwood - Denistone",1362,
"114973470","Eastwood - Denistone",183,
"114973471","Eastwood - Denistone",1351,
"114973472","Eastwood - Denistone",211,
"114973473","Eastwood - Denistone",134,
"114973474","Eastwood - Denistone",86,
"114973475","Eastwood - Denistone",119,
"114973476","Eastwood - Denistone",97,
"114979999","Eastwood - Denistone",377,
"114983588","Gladesville - Huntleys Point",432,
"114983589","Gladesville - Huntleys Point",1121,
"114983590","Gladesville - Huntleys Point",144,
"114983591","Gladesville - Huntleys Point",674,
"114983592","Gladesville - Huntleys Point",744,
"114983593","Gladesville - Huntleys Point",382,
"114983594","Gladesville - Huntleys Point",1578,
"114989999","Gladesville - Huntleys Point",450,
"114993607","Hunters Hill - Woolwich",190,
"114993608","Hunters Hill - Woolwich",298,
"114993609","Hunters Hill - Woolwich",515,
"114993610","Hunters Hill - Woolwich",813,
"114993611","Hunters Hill - Woolwich",596,
"114999999","Hunters Hill - Woolwich",124,
"115003510","Macquarie Park - Marsfield",31,
"115003511","Macquarie Park - Marsfield",204,
"115003512","Macquarie Park - Marsfield",383,
"115003513","Macquarie Park - Marsfield",74,
"115003514","Macquarie Park - Marsfield",2964,
"115003515","Macquarie Park - Marsfield",2562,
"115003516","Macquarie Park - Marsfield",8781,
"115003517","Macquarie Park - Marsfield",58,
"115003518","Macquarie Park - Marsfield",250,
"115003519","Macquarie Park - Marsfield",42,
"115003520","Macquarie Park - Marsfield",5072,
"115003521","Macquarie Park - Marsfield",4125,
"115003522","Macquarie Park - Marsfield",372,
"115003523","Macquarie Park - Marsfield",378,
"115003524","Macquarie Park - Marsfield",6053,
"115003525","Macquarie Park - Marsfield",3184,
"115003526","Macquarie Park - Marsfield",135,
"115003527","Macquarie Park - Marsfield",2619,
"115003528","Macquarie Park - Marsfield",211,
"115003529","Macquarie Park - Marsfield",104,
"115009999","Macquarie Park - Marsfield",1024,
"115013569","North Ryde - East Ryde",389,
"115013570","North Ryde - East Ryde",394,
"115013571","North Ryde - East Ryde",1038,
"115013572","North Ryde - East Ryde",478,
"115013573","North Ryde - East Ryde",7127,
"115013574","North Ryde - East Ryde",116,
"115013575","North Ryde - East Ryde",231,
"115019999","North Ryde - East Ryde",103,
"115023542","Ryde - Putney",156,
"115023543","Ryde - Putney",152,
"115023544","Ryde - Putney",479,
"115023545","Ryde - Putney",278,
"115023546","Ryde - Putney",445,
"115023547","Ryde - Putney",219,
"115023548","Ryde - Putney",714,
"115023549","Ryde - Putney",120,
"115023550","Ryde - Putney",161,
"115023551","Ryde - Putney",1742,
"115023552","Ryde - Putney",252,
"115023553","Ryde - Putney",659,
"115023554","Ryde - Putney",496,
"115023555","Ryde - Putney",112,
"115023556","Ryde - Putney",124,
"115029999","Ryde - Putney",1131,
"115033489","West Ryde - Meadowbank",1290,
"115033490","West Ryde - Meadowbank",169,
"115033491","West Ryde - Meadowbank",172,
"115033492","West Ryde - Meadowbank",372,
"115033493","West Ryde - Meadowbank",739,
"115033494","West Ryde - Meadowbank",155,
"115033495","West Ryde - Meadowbank",766,
"115033496","West Ryde - Meadowbank",637,
"115033497","West Ryde - Meadowbank",317,
"115039999","West Ryde - Meadowbank",558,
"115044190","Ashcroft - Busby - Miller",743,
"115044191","Ashcroft - Busby - Miller",128,
"115044192","Ashcroft - Busby - Miller",185,
"115044193","Ashcroft - Busby - Miller",287,
"115054105","Badgerys Creek - Greendale",209,
"115054106","Badgerys Creek - Greendale",533,
"115054107","Badgerys Creek - Greendale",160,
"115054108","Badgerys Creek - Greendale",146,
"115054109","Badgerys Creek - Greendale",120,
"115054110","Badgerys Creek - Greendale",260,
"115054111","Badgerys Creek - Greendale",218,
"115054112","Badgerys Creek - Greendale",113,
"115054113","Badgerys Creek - Greendale",106,
"115054114","Badgerys Creek - Greendale",115,
"115054115","Badgerys Creek - Greendale",239,
"115059999","Badgerys Creek - Greendale",236,
"115064128","Cobbitty - Leppington",207,
"115064129","Cobbitty - Leppington",109,
"115064130","Cobbitty - Leppington",131,
"115064131","Cobbitty - Leppington",209,
"115064132","Cobbitty - Leppington",297,
"115064133","Cobbitty - Leppington",167,
"115064134","Cobbitty - Leppington",91,
"115064135","Cobbitty - Leppington",153,
"115064136","Cobbitty - Leppington",42,
"115064137","Cobbitty - Leppington",82,
"115069999","Cobbitty - Leppington",230,
"115074150","Green Valley - Cecil Hills",314,
"115074151","Green Valley - Cecil Hills",61,
"115074152","Green Valley - Cecil Hills",245,
"115074153","Green Valley - Cecil Hills",138,
"115074154","Green Valley - Cecil Hills",611,
"115074155","Green Valley - Cecil Hills",100,
"115074156","Green Valley - Cecil Hills",284,
"115074157","Green Valley - Cecil Hills",282,
"115079999","Green Valley - Cecil Hills",291,
"115084170","Hoxton Park - Horningsea Park",290,
"115084171","Hoxton Park - Horningsea Park",205,
"115084172","Hoxton Park - Horningsea Park",422,
"115084173","Hoxton Park - Horningsea Park",263,
"115084174","Hoxton Park - Horningsea Park",49,
"115084175","Hoxton Park - Horningsea Park",211,
"115084176","Hoxton Park - Horningsea Park",231,
"115084177","Hoxton Park - Horningsea Park",244,
"115089999","Hoxton Park - Horningsea Park",865,
"115094271","Bonnyrigg Heights - Bonnyrigg",138,
"115094272","Bonnyrigg Heights - Bonnyrigg",105,
"115094273","Bonnyrigg Heights - Bonnyrigg",264,
"115094274","Bonnyrigg Heights - Bonnyrigg",440,
"115094275","Bonnyrigg Heights - Bonnyrigg",819,
"115099999","Bonnyrigg Heights - Bonnyrigg",198,
"115104225","Bossley Park - Abbotsbury",209,
"115104226","Bossley Park - Abbotsbury",242,
"115104227","Bossley Park - Abbotsbury",144,
"115104228","Bossley Park - Abbotsbury",192,
